Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
56,Kotak Equity Opportunities Fund,120158,19-Mar-2013,46.947,Nifty LargeMidcap 250 TRI,2832.88
57,Kotak Equity Opportunities Fund,120158,20-Mar-2013,46.277,Nifty LargeMidcap 250 TRI,2790.45
58,Kotak Equity Opportunities Fund,120158,21-Mar-2013,46.193,Nifty LargeMidcap 250 TRI,2769.78
59,Kotak Equity Opportunities Fund,120158,22-Mar-2013,46.076,Nifty LargeMidcap 250 TRI,2762.84
60,Kotak Equity Opportunities Fund,120158,25-Mar-2013,45.855,Nifty LargeMidcap 250 TRI,2755.26
61,Kotak Equity Opportunities Fund,120158,26-Mar-2013,45.879,Nifty LargeMidcap 250 TRI,2753.22
62,Kotak Equity Opportunities Fund,120158,28-Mar-2013,46.193,Nifty LargeMidcap 250 TRI,2785.48
63,Kotak Equity Opportunities Fund,120158,01-Apr-2013,46.392,Nifty LargeMidcap 250 TRI,2806.42
64,Kotak Equity Opportunities Fund,120158,02-Apr-2013,46.937,Nifty LargeMidcap 250 TRI,2836.6
65,Kotak Equity Opportunities Fund,120158,03-Apr-2013,46.325,Nifty LargeMidcap 250 TRI,2808
66,Kotak Equity Opportunities Fund,120158,04-Apr-2013,45.621,Nifty LargeMidcap 250 TRI,2757.44
67,Kotak Equity Opportunities Fund,120158,05-Apr-2013,45.586,Nifty LargeMidcap 250 TRI,2753.23
68,Kotak Equity Opportunities Fund,120158,08-Apr-2013,45.588,Nifty LargeMidcap 250 TRI,2748.26
69,Kotak Equity Opportunities Fund,120158,09-Apr-2013,45.187,Nifty LargeMidcap 250 TRI,2723.44
70,Kotak Equity Opportunities Fund,120158,10-Apr-2013,45.588,Nifty LargeMidcap 250 TRI,2744.53
71,Kotak Equity Opportunities Fund,120158,11-Apr-2013,45.979,Nifty LargeMidcap 250 TRI,2752.81
72,Kotak Equity Opportunities Fund,120158,12-Apr-2013,45.419,Nifty LargeMidcap 250 TRI,2738.39
73,Kotak Equity Opportunities Fund,120158,15-Apr-2013,45.674,Nifty LargeMidcap 250 TRI,2746.39
74,Kotak Equity Opportunities Fund,120158,16-Apr-2013,46.398,Nifty LargeMidcap 250 TRI,2788.01
75,Kotak Equity Opportunities Fund,120158,17-Apr-2013,46.632,Nifty LargeMidcap 250 TRI,2789.39
